nlp_Problem_Term,PPL_Id,Snomed_Concept_Id,Snomed_Preferred_Term,UMLS_CUI,Snomed_Description_Id,Snomed_Description,Snomed_Description_Type,ICD9_Code,ICD9_Description,ICD10_Code,ICD10_Description,STY,Excluded,ProblemCategory,Source
AA - EtOH abuse,13,15167005,Alcohol abuse,C0085762,477199015,AA - Alcohol abuse,2,305,"Alcohol abuse, unspecified",F10.10,"Alcohol abuse, uncomplicated",Mental or Behavioral Dysfunction,N,Alcohol Use,MTERMS
AAA - Abdominal aortic aneurysm,1,233985008,Abdominal aortic aneurysm,C0162871,350581018,AAA - Abdominal aortic aneurysm,2,441.4,Abdom aortic aneurysm,I71.4,"Abdominal aortic aneurysm, without rupture",Disease or Syndrome,N,NULL,MTERMS
AACG - Acute angle closure glaucoma,NULL,30041005,Acute angle-closure glaucoma,C0154946,2620418016,AACG - Acute angle closure glaucoma,2,365.22,Acute angl-clos glaucoma,H40.219,"Acute angle-closure glaucoma, unspecified eye",Disease or Syndrome,N,NULL,MTERMS
AACG - angle closure glaucoma,NULL,30041005,Acute angle-closure glaucoma,C0154946,2620418016,AACG - Acute angle closure glaucoma,2,365.22,Acute angl-clos glaucoma,H40.219,"Acute angle-closure glaucoma, unspecified eye",Disease or Syndrome,N,NULL,MTERMS
AAMD - Age related macular degeneration,1414,267718000,Age related macular degeneration,C0242383,2620215016,AAMD - Age related macular degeneration,2,362.5,"Macular degeneration (senile), unspecified",H35.30,Unspecified macular degeneration,Disease or Syndrome,N,NULL,MTERMS
AAU - acute anterior uveitis,NULL,4927003,Acute anterior uveitis,C0701807,495354011,AAU - acute anterior uveitis,2,364,"Anterior uveitis, acute",H20.00,Unspecified acute and subacute iridocyclitis,Disease or Syndrome,N,NULL,MTERMS
AAU - anterior uveitis,NULL,4927003,Acute anterior uveitis,C0701807,495354011,AAU - acute anterior uveitis,2,364,"Anterior uveitis, acute",H20.00,Unspecified acute and subacute iridocyclitis,Disease or Syndrome,N,NULL,MTERMS
Abacterial meningitis,NULL,58170007,Viral meningitis,C0025297,96674017,Abacterial meningitis,2,47.9,Unspecified viral meningitis,A87.9,"Viral meningitis, unspecified",Disease or Syndrome,N,NULL,MTERMS
ABC - Aneurysmal bone cyst,NULL,203468000,Aneurysmal bone cyst,C0152244,312185012,ABC - Aneurysmal bone cyst,2,733.22,Aneurysmal bone cyst,M85.50,"Aneurysmal bone cyst, unspecified site",Disease or Syndrome,N,NULL,MTERMS
Abdomen distended,2,60728008,Swollen abdomen,C0000731,498835017,Abdomen distended,2,787.3,Bloating,R14.0,Abdominal distension (gaseous),Finding,N,NULL,MTERMS
Abdomen feels bloated,NULL,116289008,Abdominal bloating,C1291077,2475423012,Abdomen feels bloated,2,787.3,Bloating,R14.0,Abdominal distension (gaseous),Sign or Symptom,N,NULL,MTERMS
Abdominal abscess,NULL,75100008,Abdominal abscess,C0243001,124732010,Abdominal abscess,1,567.22,Peritoneal abscess,K65.1,Peritoneal abscess,Disease or Syndrome,N,NULL,Subset
Abdominal actinomycosis,NULL,43894001,Abdominal actinomycosis,C0001263,73186018,Abdominal actinomycosis,1,39.2,Abdominal actinomycotic infection,A42.1,Abdominal actinomycosis,Disease or Syndrome,N,NULL,PEPrL
Abdominal aortic aneurysm,1,233985008,Abdominal aortic aneurysm,C0162871,350580017,Abdominal aortic aneurysm,1,441.4,Abdom aortic aneurysm,I71.4,"Abdominal aortic aneurysm, without rupture",Disease or Syndrome,N,NULL,PEPrL and Subset
Abdominal aortic aneurysm which has ruptured,NULL,14336007,Ruptured abdominal aortic aneurysm,C0265012,1221083011,Abdominal aortic aneurysm which has ruptured,2,441.3,Rupt abd aortic aneurysm,I71.3,"Abdominal aortic aneurysm, ruptured",Disease or Syndrome,N,NULL,MTERMS
Abdominal aortic aneurysm without rupture,NULL,75878002,Abdominal aortic aneurysm without rupture,C0265011,126029017,Abdominal aortic aneurysm without rupture,1,441.4,Abdom aortic aneurysm,I71.4,"Abdominal aortic aneurysm, without rupture",Acquired Abnormality,N,NULL,Subset
Abdominal apoplexy,NULL,45626005,Nontraumatic hemoperitoneum,C0019066,76079017,Abdominal apoplexy,2,568.81,Hemoperitoneum (nontraumatic),K66.1,Hemoperitoneum,Pathologic Function,N,NULL,MTERMS
Abdominal bloating,NULL,116289008,Abdominal bloating,C1291077,179244013,Abdominal bloating,1,787.3,Bloating,R14.0,Abdominal distension (gaseous),Sign or Symptom,N,NULL,Subset
Abdominal bruit,NULL,249590007,Abdominal bruit,C0221755,372381011,Abdominal bruit,1,789.9,Other symptoms involving abdomen and pelvis,R09.89,Other specified symptoms and signs involving the circulatory and respiratory systems,Sign or Symptom,N,NULL,Subset
Abdominal colic,NULL,9991008,Abdominal colic,C0232488,17444017,Abdominal colic,1,789.07,Abdmnal pain generalized,R10.84,Generalized abdominal pain,Finding,N,NULL,PEPrL and Subset
Abdominal compartment syndrome,NULL,427207001,Abdominal compartment syndrome,C1142110,2674073019,Abdominal compartment syndrome,1,958.93,Trauma compart synd abd,T79.A3X?,"Unspecified early complication of trauma, sequela",Disease or Syndrome,N,NULL,PEPrL
abdominal complaint,NULL,9991008,Abdominal colic,C0232488,17449010,Acute abdominal complaint,2,789.07,Abdmnal pain generalized,R10.84,Generalized abdominal pain,Finding,N,NULL,MTERMS
Abdominal crisis,NULL,9991008,Abdominal colic,C0232488,17448019,Abdominal crisis,2,789.07,Abdmnal pain generalized,R10.84,Generalized abdominal pain,Finding,N,NULL,MTERMS
Abdominal desmoid tumor,NULL,400153009,Abdominal fibromatosis,C0206646,1784129011,Abdominal desmoid tumor,2,238.1,Neoplasm of uncertain behavior of connective and other soft tissue,D48.1,Neoplasm of uncertain behavior of connective and other soft tissue,Neoplastic Process,N,NULL,MTERMS
Abdominal desmoid tumour,NULL,400153009,Abdominal fibromatosis,C0206646,1783743017,Abdominal desmoid tumour,2,238.1,Neoplasm of uncertain behavior of connective and other soft tissue,D48.1,Neoplasm of uncertain behavior of connective and other soft tissue,Neoplastic Process,N,NULL,MTERMS
Abdominal discomfort,NULL,43364001,Abdominal discomfort,C0232487,72350017,Abdominal discomfort,1,789.09,Abdmnal pain oth spcf st,R10.4,Periumbilical pain,Sign or Symptom,N,NULL,PEPrL and Subset
Abdominal distension,NULL,41931001,Abdominal distension,C0000731,69965013,Abdominal distension,1,787.3,Bloating,R14.0,Abdominal distension (gaseous),Finding,N,NULL,Subset
abdominal distention,2,60728008,Swollen abdomen,C0000731,498833012,Abdominal distention,2,787.3,Bloating,R14,Other dysphagia,Finding,N,NULL,MTERMS
Abdominal dropsy,889,389026000,Ascites,C0003962,1493596018,Abdominal dropsy,2,789.59,Other ascites,R18.8,Other ascites,Finding,N,NULL,MTERMS
Abdominal fibromatosis,NULL,400153009,Abdominal fibromatosis,C0206646,1779407010,Abdominal fibromatosis,1,238.1,Neoplasm of uncertain behavior of connective and other soft tissue,D48.1,Neoplasm of uncertain behavior of connective and other soft tissue,Neoplastic Process,N,NULL,Subset
Abdominal hernia,269,52515009,Hernia of abdominal cavity,C0178282,496340012,Abdominal hernia,2,553.8,Hernia of other specified sites without mention of obstruction or gangrene,K46.9,Unspecified abdominal hernia without obstruction or gangrene,Anatomical Abnormality,N,NULL,MTERMS
Abdominal injury,NULL,128069005,Injury of abdomen,C0848377,206363015,Abdominal injury,2,959.12,Other injury of abdomen,S39.91X?,"Unspecified injury of abdomen, episode of care unspecified",Injury or Poisoning,N,NULL,MTERMS
Abdominal lump,NULL,271860004,Abdominal mass,C0000734,406852014,Abdominal lump,2,789.3,"Abdominal or pelvic swelling, mass, or lump, unspecified site",R19.00,"Intra-abd and pelvic swelling, mass and lump, unsp site",Finding,N,NULL,MTERMS
Abdominal mass,NULL,271860004,Abdominal mass,C0000734,406851019,Abdominal mass,1,789.3,"Abdominal or pelvic swelling, mass, or lump, unspecified site",R19.00,"Intra-abd and pelvic swelling, mass and lump, unsp site",Finding,N,NULL,PEPrL and Subset
Abdominal pain,NULL,21522001,Abdominal pain,C0000737,36112013,Abdominal pain,1,789,"Abdominal pain, unspecified site",R10.9,Unspecified abdominal pain,Sign or Symptom,N,NULL,PEPrL and Subset
Abdominal pain in pregnancy,NULL,309737007,Abdominal pain in pregnancy,C0587223,453214019,Abdominal pain in pregnancy,1,789,Abdmnal pain unspcf site,R10.9,Unspecified abdominal pain,Sign or Symptom,N,NULL,Subset
Abdominal pregnancy,NULL,82661006,Abdominal pregnancy,C0032984,137128014,Abdominal pregnancy,1,633.8,Ovarian preg w intra prg,O00.8,Other ectopic pregnancy,Disease or Syndrome,N,NULL,PEPrL and Subset
Abdominal swelling,2,60728008,Swollen abdomen,C0000731,498834018,Abdominal swelling,2,787.3,Bloating,R14.0,Abdominal distension (gaseous),Finding,N,NULL,MTERMS
Abdominal wall pain,NULL,162042000,Abdominal wall pain,C0581869,252575016,Abdominal wall pain,1,789.09,Abdmnal pain oth spcf st,R10.9,Unspecified abdominal pain,Sign or Symptom,N,NULL,Subset
Abducens nerve condition,NULL,398925009,Abducens nerve disorder,C0271355,1778405012,Abducens nerve disorder,1,378.54,Sixth nerve palsy,H49.20,"Sixth [abducent] nerve palsy, unspecified eye",Disease or Syndrome,N,NULL,MTERMS
Abducens nerve disease,NULL,398925009,Abducens nerve disorder,C0271355,1786594019,Abducens nerve disease,2,378.54,Sixth nerve palsy,H49.20,"Sixth [abducent] nerve palsy, unspecified eye",Disease or Syndrome,N,NULL,MTERMS
Abducens nerve disorder,NULL,398925009,Abducens nerve disorder,C0271355,1778405012,Abducens nerve disorder,1,378.54,Sixth nerve palsy,H49.20,"Sixth [abducent] nerve palsy, unspecified eye",Disease or Syndrome,N,NULL,Subset
Abducens nerve syndrome,NULL,398925009,Abducens nerve disorder,C0271355,1778405012,Abducens nerve disorder,1,378.54,Sixth nerve palsy,H49.20,"Sixth [abducent] nerve palsy, unspecified eye",Disease or Syndrome,N,NULL,MTERMS
Ablatio placentae,NULL,415105001,Placental abruption,C0000832,2537192015,Ablatio placentae,2,641.2,"Premature separation of placenta, unspecified as to episode of care or not applicable",O45.8X9,"Other premature separation of placenta, unsp trimester",Pathologic Function,N,NULL,MTERMS
Abnormal auditory perception,NULL,60331006,Abnormal auditory perception,C0375257,100223014,Abnormal auditory perception,1,388.4,"Abnormal auditory perception, unspecified",H93.299,"Other abnormal auditory perceptions, unspecified ear",Pathologic Function,N,NULL,PEPrL and Subset
Abnormal bereavement reaction,1002,225021007,Abnormal grief reaction,C0455268,338196019,Abnormal bereavement reaction,2,309.9,Adjustment reaction NOS,F43.20,"Adjustment disorder, unspecified",Finding,N,NULL,MTERMS
Abnormal biochemical finding on antenatal screening of mother,NULL,199734003,Abnormal biochemical finding on antenatal screening of mother,C0451805,306899015,Abnormal biochemical finding on antenatal screening of mother,1,646.83,Preg compl NEC-antepart,O28.1,Abnormal biochemical finding on antenatal screening of mother,Finding,N,NULL,Subset
Abnormal blood pressure,NULL,38936003,Abnormal blood pressure,C0005826,65302013,Abnormal blood pressure,1,785.9,Cardiovas sys symp NEC,R00.8,Other abnormalities of heart beat,Finding,N,NULL,Subset
Abnormal body position,NULL,43029002,Abnormal posture,C0231471,71796013,Abnormal body position,2,781.92,Abnormal posture,R29.3,Abnormal posture,Finding,N,NULL,MTERMS
Abnormal bowel habits,NULL,88111009,Altered bowel function,C0278008,146079014,Abnormal bowel habits,2,787.99,Digestve syst symptm NEC,R19.8,Other specified symptoms and signs involving the digestive system and abdomen,Sign or Symptom,N,NULL,MTERMS
Abnormal cervical Papanicolaou smear,NULL,439888000,Abnormal cervical Papanicolaou smear,C0476427,2790920019,Abnormal cervical Papanicolaou smear,1,795,Abnormal glandular Papanicolaou smear of cervix,R87.619,Unsp abnormal cytolog findings in specmn from cervix uteri,Finding,N,NULL,PEPrL and Subset
Abnormal cervical Papanicolaou smear with positive human papillomavirus deoxyribonucleic acid test,NULL,441667007,Abnormal cervical Papanicolaou smear with positive human papillomavirus deoxyribonucleic acid test,C2711657,2816705019,Abnormal cervical Papanicolaou smear with positive human papillomavirus deoxyribonucleic acid test,1,795.09,Other abnormal Papanicolaou smear of cervix and cervical HPV,R87.619,Unsp abnormal cytolog findings in specmn from cervix uteri,Finding,N,NULL,PEPrL and Subset
Abnormal cervical smear,343,309081009,Abnormal cervical smear,C0476427,452420011,Abnormal cervical smear,1,795,Abnormal glandular Papanicolaou smear of cervix,R87.619,Unsp abnormal cytolog findings in specmn from cervix uteri,Finding,N,NULL,PEPrL and Subset
Abnormal coordination,NULL,302289002,Coordination problem,C0520966,443886013,Abnormal coordination,2,781.3,Lack of coordination,R27.8,Other lack of coordination,Sign or Symptom,N,NULL,MTERMS
Abnormal CT scan,NULL,129679001,Computed tomography result abnormal,C0436539,208516012,Abnormal CT scan,2,793.99,Other nonspecific (abnormal) findings on radiological and other examinations of body structure,R93.8,Abnormal findings on diagnostic imaging of body structures,Finding,N,NULL,MTERMS
abnormal CXR,4,168734001,Standard chest X-ray abnormal,C0436503,NULL,NULL,NULL,793.7,Nonsp abn find-ms system,R93.8,Abnormal findings on diagnostic imaging of body structures,Finding,N,NULL,MTERMS
Abnormal decrease in weight,NULL,267024001,Abnormal weight loss,C0936227,2162367017,Abnormal decrease in weight,2,42,AIDS,B20,Human immunodeficiency virus [HIV] disease,Finding,N,NULL,MTERMS
Abnormal defaecation,NULL,179950008,Abnormal defecation,C0232698,278328014,Abnormal defaecation,1,787.99,Digestve syst symptm NEC,R19.8,Other specified symptoms and signs involving the digestive system and abdomen,Sign or Symptom,N,NULL,MTERMS
Abnormal defecation,NULL,179950008,Abnormal defecation,C0232698,278329018,Abnormal defecation,1,787.99,Digestve syst symptm NEC,R19.8,Other specified symptoms and signs involving the digestive system and abdomen,Sign or Symptom,N,NULL,Subset
Abnormal deglutition,NULL,47717004,Abnormal deglutition,C0232519,79518010,Abnormal deglutition,1,524.59,Other dentofacial functional abnormalities,M26.59,Other dentofacial functional abnormalities,Pathologic Function,N,NULL,Subset
Abnormal dilatation of cervix before onset of labor,587,17382005,Cervical incompetence,C0007871,29391019,Abnormal dilatation of cervix before onset of labor,2,622.5,Incompetence of cervix,N88.3,Incompetence of cervix uteri,Pathologic Function,N,NULL,MTERMS
Abnormal dilatation of cervix before onset of labour,587,17382005,Cervical incompetence,C0007871,478129014,Abnormal dilatation of cervix before onset of labour,2,622.5,Incompetence of cervix,N88.3,Incompetence of cervix uteri,Pathologic Function,N,NULL,MTERMS
Abnormal ECG,5,102594003,Electrocardiogram abnormal,C0522055,251959010,Abnormal ECG,2,794.31,Nonspecific abnormal electrocardiogram [ECG] [EKG],R94.31,Abnormal electrocardiogram [ECG] [EKG],Finding,N,NULL,MTERMS
abnormal EKG,5,102594003,Electrocardiogram abnormal,C0522055,NULL,NULL,NULL,794.31,Nonspecific abnormal electrocardiogram [ECG] [EKG],R94.31,Abnormal electrocardiogram [ECG] [EKG],Finding,N,NULL,MTERMS
Abnormal EKG finding,5,102594003,Electrocardiogram abnormal,C0522055,165914011,Abnormal EKG finding,2,794.31,Nonspecific abnormal electrocardiogram [ECG] [EKG],R94.31,Abnormal electrocardiogram [ECG] [EKG],Finding,N,NULL,MTERMS
Abnormal female sexual function,NULL,28154007,Abnormal female sexual function,C0278100,47132019,Abnormal female sexual function,1,302.79,Psychosexual dysfunc NEC,F52.8,Other sexual dysfunction not due to a substance or known physiological condition,Mental or Behavioral Dysfunction,N,NULL,Subset
Abnormal fetal heart rate,NULL,312668007,Abnormal fetal heart rate,C0730018,456422017,Abnormal fetal heart rate,1,779.81,Neonatal bradycardia,P29.12,Neonatal bradycardia,Finding,N,NULL,PEPrL
Abnormal fetal heart rate AND/OR rhythm affecting management of mother,NULL,12867002,Fetal distress affecting management of mother,C0015931,22072010,Abnormal fetal heart rate AND/OR rhythm affecting management of mother,2,656.3,Fetal distress affecting management of mother,O36.8990,"Maternal care for oth fetal problems, unsp trimester, unsp",Disease or Syndrome,N,NULL,MTERMS
Abnormal fetal heart rate or rhythm affecting management of mother,NULL,12867002,Fetal distress affecting management of mother,C0015931,22070019,Abnormal fetal heart rate or rhythm affecting management of mother,2,656.3,Fetal distress affecting management of mother,O36.8990,"Maternal care for oth fetal problems, unsp trimester, unsp",Disease or Syndrome,N,NULL,MTERMS
Abnormal fetal presentation,NULL,15028002,Abnormal fetal presentation,C0233256,25508012,Abnormal fetal presentation,1,652.6,Mult gest malpresen-unsp,O32.9XX0,"Maternal care for malpresentation of fetus, unspecified, not applicable or unspecified",Finding,N,NULL,PEPrL
Abnormal fetus,NULL,86889005,Abnormal fetus,C0266652,144099018,Abnormal fetus,1,759.89,Specfied cong anomal NEC,Q89.8,Other specified congenital malformations,Disease or Syndrome,N,NULL,PEPrL
Abnormal findings on antenatal screening of mother,NULL,199732004,Abnormal findings on antenatal screening of mother,C0495194,306896010,Abnormal findings on antenatal screening of mother,1,796.5,Abnormal finding on antenatal screening,O28.9,Unspecified abnormal findings on antenatal screening of mother,Finding,N,NULL,PEPrL and Subset
Abnormal findings on diagnostic imaging of breast,NULL,274530001,Abnormal findings on diagnostic imaging of breast,C0495787,410351013,Abnormal findings on diagnostic imaging of breast,1,793.89,Other (abnormal) findings on radiological examination of breast,R92.8,Other abnormal and inconclusive findings on diagnostic imaging of breast,Finding,N,NULL,PEPrL
Abnormal findings on diagnostic imaging of lung,NULL,274533004,Abnormal findings on diagnostic imaging of lung,C0495786,410354017,Abnormal findings on diagnostic imaging of lung,1,793.1,Nonspecific abnormal findings on radiological and other examination of lung field,R91.8,Other nonspecific abnormal finding of lung field,Finding,N,NULL,PEPrL and Subset
Abnormal gait,855,22325002,Abnormal gait,C0575081,37486015,Abnormal gait,1,781.2,Plantar wart,R26.9,Unspecified abnormalities of gait and mobility,Finding,N,NULL,PEPrL and Subset
Abnormal glucose tolerance test,NULL,274858002,Abnormal glucose tolerance test,C0159069,410727018,Abnormal glucose tolerance test,1,648.82,Abn glucose-deliv w p/p,O99.815,Abnormal glucose complicating the puerperium,Finding,N,NULL,Subset
Abnormal glucose tolerance test during pregnancy - baby not yet delivered,NULL,372054004,Abnormal glucose tolerance test during pregnancy - baby not yet delivered,C0404734,1210632016,Abnormal glucose tolerance test during pregnancy - baby not yet delivered,1,648.83,"Abnormal glucose tolerance of mother, antepartum condition or complication",O99.810,Abnormal glucose complicating pregnancy,Finding,N,NULL,Subset
Abnormal granulation tissue,NULL,31825002,Abnormal granulation tissue,C0263634,53176015,Abnormal granulation tissue,1,701.5,Other abnormal granulation tissue,L92.8,Other granulomatous disorders of the skin and subcutaneous tissue,Sign or Symptom,N,NULL,PEPrL
Abnormal grief reaction,1002,225021007,Abnormal grief reaction,C0455268,338195015,Abnormal grief reaction,1,309.9,Adjustment reaction NOS,F43.20,"Adjustment disorder, unspecified",Finding,N,NULL,PEPrL
Abnormal grief reaction to life event,1002,225021007,Abnormal grief reaction,C0455268,2669006010,Abnormal grief reaction to life event,2,309.9,Adjustment reaction NOS,F43.20,"Adjustment disorder, unspecified",Finding,N,NULL,MTERMS
Abnormal hepatic function,NULL,75183008,Abnormal liver function,C0086565,124875011,Abnormal hepatic function,2,789.9,Other symptoms involving abdomen and pelvis,K76.89,Other specified diseases of liver,Pathologic Function,N,NULL,MTERMS
Abnormal increase in weight,NULL,161833006,Abnormal weight gain,C0332544,2164210012,Abnormal increase in weight,2,783.1,Abnormal weight gain,R63.5,Abnormal weight gain,Sign or Symptom,N,NULL,MTERMS
Abnormal involuntary movement,NULL,260912008,Abnormal involuntary movement,C0392702,388569010,Abnormal involuntary movement,1,781,Abnormal involuntary movements,R25.9,Unspecified abnormal involuntary movements,Disease or Syndrome,N,NULL,PEPrL and Subset
Abnormal liver function,NULL,75183008,Abnormal liver function,C0086565,124874010,Abnormal liver function,1,789.9,Other symptoms involving abdomen and pelvis,K76.89,Other specified diseases of liver,Pathologic Function,N,NULL,Subset
abnormal liver function tests,6,166603001,Liver function tests abnormal,C0151766,NULL,NULL,NULL,794.8,Nonspecific abnormal results of function study of liver,R94.5,Abnormal results of liver function studies,Finding,N,NULL,MTERMS
Abnormal long menstrual cycle,483,52073004,Oligomenorrhea,C0028949,86684018,Abnormal long menstrual cycle,2,626.9,Unspecified disorders of menstruation and other abnormal bleeding from female genital tract,N93.9,"Abnormal uterine and vaginal bleeding, unspecified",Pathologic Function,N,NULL,MTERMS
Abnormal male sexual function,NULL,5413009,Abnormal male sexual function,C0278097,10048011,Abnormal male sexual function,1,796.9,Other nonspecific abnormal findings,R89.9,Unsp abnormal finding in specimens from oth org/tiss,Mental or Behavioral Dysfunction,N,NULL,Subset
abnormal mammogram,7,168750009,Mammography abnormal,C0262365,NULL,NULL,NULL,793.8,"Abnormal mammogram, unspecified",R92.8,Other abnormal and inconclusive findings on diagnostic imaging of breast,Finding,N,NULL,MTERMS
Abnormal menstruation,NULL,386804004,Disorder of menstruation,C0025345,2536534017,Abnormal menstruation,2,626.9,Unspecified disorders of menstruation and other abnormal bleeding from female genital tract,N92.6,"Irregular menstruation, unspecified",Pathologic Function,N,NULL,MTERMS
Abnormal mental state,864,1855002,Developmental academic disorder,C1330966,478663010,Abnormal mental state,2,315.2,Other specific developmental learning difficulties,F81.8,Mathematics disorder,Finding,N,NULL,MTERMS
abnormal pap test,343,309081009,Abnormal cervical smear,C0476427,NULL,NULL,NULL,795,Abnormal glandular Papanicolaou smear of cervix,R87.619,Unsp abnormal cytolog findings in specmn from cervix uteri,Finding,N,NULL,MTERMS
Abnormal posture,NULL,43029002,Abnormal posture,C0231471,71795012,Abnormal posture,1,781.92,Abnormal posture,R29.3,Abnormal posture,Finding,N,NULL,Subset
Abnormal presence of protein in urine,353,29738008,Proteinuria,C0033687,49757010,Abnormal presence of protein in urine,2,791,Albuminuria,R80.9,"Proteinuria, unspecified",Finding,N,NULL,MTERMS
Abnormal renal function,NULL,39539005,Abnormal renal function,C0151746,66316010,Abnormal renal function,1,588.9,Impaired renal funct NOS,N25.9,"Disorder resulting from impaired renal tubular function, unspecified",Pathologic Function,N,NULL,Subset
Abnormal results of kidney function studies,NULL,167180005,Renal function tests abnormal,C0236151,2475515013,Abnormal results of kidney function studies,2,794.4,Nonspecific abnormal results of function study of kidney,R94.4,Abnormal results of kidney function studies,Finding,N,NULL,MTERMS
Abnormal results of liver function studies,6,166603001,Liver function tests abnormal,C0151766,2475511016,Abnormal results of liver function studies,2,794.8,Nonspecific abnormal results of function study of liver,R94.5,Abnormal results of liver function studies,Finding,N,NULL,MTERMS
Abnormal sexual function,1067,56925008,Abnormal sexual function,C0549622,94664018,Abnormal sexual function,1,302.7,Sexual dysfunction NOS,R37,"Sexual dysfunction, unspecified",Disease or Syndrome,N,NULL,PEPrL and Subset
Abnormal skin sensitivity,NULL,80910005,Skin sensation disturbance,C0012766,134214019,Abnormal skin sensitivity,2,782,Disturbance of skin sensation,R20.9,Unspecified disturbances of skin sensation,Sign or Symptom,N,NULL,MTERMS
Abnormal sputum,NULL,274708000,Abnormal sputum,C0159054,410550010,Abnormal sputum,1,786.4,Abnormal sputum,R09.3,Abnormal sputum,Finding,N,NULL,Subset
Abnormal swallowing,NULL,47717004,Abnormal deglutition,C0232519,79519019,Abnormal swallowing,2,524.59,Other dentofacial functional abnormalities,M26.59,Other dentofacial functional abnormalities,Pathologic Function,N,NULL,MTERMS
