Abbr,AbbrText,Comment,Synonyms,nlp_Problem_Id,nlp_Problem_Term,nlp_TermLength,PPL_Id,Snomed_Concept_Id,UMLS_CUI,Snomed_Description_Id,Snomed_Description_Type,ICD9_Code,ICD9_Description,ICD10_Code,ICD10_Description,TTY,STY,Excluded,ProblemCategory,ProblemSubCategory
AVNRT,atrioventricular nodal re-entry tachycardia,NULL,NULL,6169,Atrioventricular nodal re-entry tachycardia,43,NULL,251166008,C0039232,2619726015,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
B/L,bilaterally,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
BCC,basal cell carcinoma,NULL,NULL,153,basal cell carcinoma,20,38,254701007,NULL,NULL,NULL,173.9,Other malignant neoplasm of skin; site unspecified,C44.9,Malignant neoplasm of skin; unspecified,NULL,NULL,N,,NULL
BKA,below knee amputation,NULL,NULL,157,below knee amputation,21,40,88312006,NULL,NULL,NULL,,,,,NULL,NULL,N,,NULL
BPAD, Bipolar Affective Disorder,NULL,NULL,NULL,NULL,NULL,NULL,13746004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL
BPD,bronchopulmonary dysplasia,NULL,NULL,202,bronchopulmonary dysplasia,26,1058,67569000,C0006287,112216013,2,770.7,Chronic respiratory disease arising in the perinatal period,,,NULL,NULL,N,,NULL
BPPV,benign paroxysmal positional vertigo,NULL,NULL,162,benign paroxysmal positional vertigo,36,1502,111541001,C0155502,178784013,1,386.11,Benign paroxysmal positional vertigo,,,NULL,NULL,N,,NULL
BTL,bilateral tubal ligation,NULL,NULL,7638,Bilateral tubal ligation,24,NULL,287664005,C0589114,427207017,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
BVF,biventricular failure,NULL,NULL,16721,Biventricular failure,21,NULL,92506005,C0685095,510016018,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
CABG,coronary artery bypass graft,NULL,NULL,5309,Coronary artery bypass graft,28,497,232717009,C0010055,348640013,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
CAD,coronary artery disease,NULL,NULL,318,coronary artery disease,23,91,53741008,C0010054,2536395017,2,414,Coronary atherosclerosis of unspecified type of vessel; native or graft,,,NULL,NULL,N,,NULL
CEA,carotid endarterectomy,NULL,NULL,14216,Carotid endarterectomy,22,136,66951008,C0014099,111207012,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
CFS,chronic fatigue syndrome,NULL,NULL,268,chronic fatigue syndrome,24,78,52702003,C0015674,87704019,1,780.71,Chronic fatigue syndrome,R53.82,Chronic fatigue; unspecified,NULL,NULL,N,,NULL
CGD,chronic granulomatous disease,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
CHB,complete heart block,NULL,NULL,7410,Complete heart block,20,699,27885002,C0151517,46673012,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
CHOL,cholesterol,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
CHOLEY,cholecystectomy,NULL,NULL,259,cholecystectomy,15,76,38102005,C0008320,64698015,1,,,,,NULL,NULL,N,,NULL
CHOLY,cholecystectomy,NULL,NULL,259,cholecystectomy,15,76,38102005,C0008320,64698015,1,,,,,NULL,NULL,N,,NULL
CIDP,chronic inflammatory demyelinating polyneuropathy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
CILD,chronic interstitial lung disease,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
CIN,cervical carcinoma in situ,NULL,NULL,241,cervical carcinoma in situ,26,69,92564006,NULL,NULL,NULL,233.1,Carcinoma in situ of cervix uteri,,,NULL,NULL,N,,NULL
CLL,chronic lymphocytic leukemia,NULL,NULL,269,chronic lymphocytic leukemia,28,79,92814006,NULL,NULL,NULL,204.1,Chronic lymphoid leukemia without mention of having achieved remission,C91.10,Chronic lymphocytic leukemia of B-cell type not having achieved remission,NULL,NULL,N,,NULL
CML,chronic myelocytic leukemia,NULL,NULL,270,chronic myelocytic leukemia,27,570,92818009,C0023473,2837902010,2,205.1,Chronic myeloid leukemia without mention of having achieved remission,,,NULL,NULL,N,,NULL
CMP,cardiomyopathy,NULL,NULL,220,cardiomyopathy,14,61,85898001,C0878544,142398017,2,425.4,Other primary cardiomyopathies,,,NULL,NULL,N,,NULL
CMV,cytomegalovirus,NULL,NULL,346,cytomegalovirus,15,589,28944009,NULL,NULL,NULL,78.5,Cytomegaloviral disease,,,NULL,NULL,N,,NULL
CPH,chronic persistent hepatitis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
CPR,cardiopulmonary resuscitation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
CRI,Renal insufficiency,NULL,Synonym,1200,renal insufficiency,19,542,236425005,C0035078,2921020018,2,585.9,Chronic kidney disease; unspecified,N18.9,Chronic kidney disease; unspecified,NULL,NULL,N,,NULL
CRPS,complex regional pain syndrome,NULL,NULL,2463,Complex regional pain syndrome,30,NULL,128200000,C0458219,206425010,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
CSECTION,cesarean section,NULL,NULL,249,cesarean section,16,73,11466000,C0007876,19836016,2,,,,,NULL,NULL,N,,NULL
CSF,cerebrospinal fluid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
CSS,Churg-Strauss syndrome,NULL,NULL,276,Churg-Strauss syndrome,22,952,82275008,C0008728,136476013,2,446.4,Wegener's granulomatosis,,,NULL,NULL,N,,NULL
CTS,carpal tunnel syndrome,NULL,NULL,224,carpal tunnel syndrome,22,63,57406009,C0007286,95473010,1,354,Carpal tunnel syndrome,,,NULL,NULL,N,,NULL
CVA,cerebrovascular accident,NULL,NULL,237,cerebrovascular accident,24,67,230690007,C0038454,345637012,1,436,Acute; but ill-defined; cerebrovascular disease,,,NULL,NULL,N,,NULL
CVVHD,continuous venous to venous hemodialysis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
D&C,dilation and curettage,NULL,NULL,2584,Dilation and curettage,22,108,13091001,C0012358,22407014,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
D&C&E,dilatation & curettage & evacuation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
D&E,dilation & evacuation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
D&V,Diarrhea & Vomiting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
D/C/E,Dilation & Curettage & Evacuation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
D/E,Dilation & Evacuation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
d/o,disorder,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
D/T,delirium tremens,NULL,NULL,16146,Delirium tremens,16,NULL,8635005,C0001957,15244019,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
D/V,diarrhea and vomiting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
D+C,dilatation and curettage,NULL,NULL,378,dilatation and curettage,24,108,11401008,NULL,1219917017,2,,,,,NULL,NULL,N,,NULL
D+C+E,Dilation & Curettage & Evacuation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
D+E,Dilation & Evacuation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
D+V,Diarrhea & Vomiting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
Depressive D/O,Depressive disorder,Mental Disorder Study,NULL,NULL,Depressive disorder,14,NULL,35489007,NULL,59213018,NULL,NULL,NULL,NULL,NULL,ABRV,NULL,N,depression_abbreviation,NULL
DI,diabetes insipidus,NULL,NULL,367,diabetes insipidus,18,511,15771004,C0011848,26722019,2,253.5,Diabetes insipidus,E23.2,Diabetes insipidus,NULL,NULL,N,,NULL
DJD,degenerative joint disease,NULL,NULL,352,degenerative joint disease,26,906,396275006,C0029408,1785526019,2,715.9,Osteoarthrosis; unspecified whether generalized or localized; involving unspecified site,,,NULL,NULL,N,,NULL
DKA,diabetic ketoacidosis,NULL,NULL,372,diabetic ketoacidosis,21,539,420422005,C0011880,2616611010,1,250.1,Diabetes mellitus with ketoacidosis; type II or unspecified type; not stated as uncontrolled,,,NULL,NULL,N,,NULL
DM,diabetes mellitus,NULL,NULL,368,diabetes mellitus,17,105,73211009,C0011849,121590018,2,250,Diabetes mellitus without mention of complication; type II or unspecified type; not stated as uncontrolled,,,NULL,NULL,N,,NULL
DOE,dyspnea on exertion,NULL,NULL,13731,Dyspnea on exertion,19,NULL,60845006,C0231807,498863015,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
DPN,Depression,Mental Disorder Study,NULL,NULL,Depression,3,NULL,35489007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ABRV,NULL,N,depression_abbreviation,NULL
DUB,dysfunctional uterine bleeding,NULL,NULL,398,dysfunctional uterine bleeding,30,114,19155002,C0025874,32278010,1,626.8,Other disorders of menstruation and other abnormal bleeding from female genital tract,,,NULL,NULL,N,,NULL
EAA,extrinsic allergic alveolitis,NULL,NULL,9541,Extrinsic allergic alveolitis,29,NULL,37471005,C0002390,187707013,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
EDS,Ehlers-Danlos syndrome,NULL,NULL,419,Ehlers-Danlos syndrome,22,963,398114001,C0013720,1777678019,1,756.83,Ehlers-Danlos syndrome,Q79.6,Ehlers-Danlos syndrome,NULL,NULL,N,,NULL
EFM,electronic fetal monitoring,NULL,NULL,17710,Electronic fetal monitoring,27,1309,387672006,NULL,1492204016,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
EN,erythema nodosum,NULL,NULL,471,erythema nodosum,16,139,32861005,C0014743,54849011,2,695.2,Erythema nodosum,L52,Erythema nodosum,NULL,NULL,N,,NULL
ENaC,epithelial sodium channel,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
ERCP,endoscopic retrograde cholangiopancreatography,NULL,NULL,9723,Endoscopic retrograde cholangiopancreatography,46,1353,386718000,C0008310,1480852014,1,NULL,NULL,NULL,NULL,NULL,NULL,Y,,NULL
ESRD,end stage renal disease,NULL,NULL,441,end stage renal disease,23,135,46177005,C0022661,76995019,1,586,Renal failure; unspecified,N19,Unspecified kidney failure,NULL,NULL,N,,NULL
ESWL,extracorporeal shockwave lithotripsy,NULL,NULL,486,extracorporeal shockwave lithotripsy,36,1383,44345001,NULL,73972018,2,,,,,NULL,NULL,N,,NULL
ETCO2,endtidal CO2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
ETD,eustachian tube dysfunction,NULL,NULL,481,eustachian tube dysfunction,27,686,56713002,C0271468,1494809017,2,381.81,Dysfunction of Eustachian tube,,,NULL,NULL,N,,NULL
FB,foreign body,NULL,NULL,523,foreign body,12,1526,125670008,C0016542,473556018,1,799.89,Other ill-defined conditions,,,NULL,NULL,N,,NULL
FCBD,fibrocystic breast disease,NULL,NULL,508,fibrocystic breast disease,26,830,27431007,NULL,NULL,NULL,610.1,Diffuse cystic mastopathy,,,NULL,NULL,N,,NULL
FEV,forced expiratory volume,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
FEV1,forced expiratory volume in one second,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
FOB,Occult blood in stools,NULL,NULL,13595,Occult blood in stools,22,159,59614000,C0266813,99030019,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
FVL,factor V Leiden,NULL,NULL,489,factor V leiden,15,1072,307091009,NULL,NULL,NULL,289.81,Primary hypercoagulable state,,,NULL,NULL,N,,NULL
Fx,fracture,NULL,NULL,2243,Fracture,8,152,125605004,C0016658,473534016,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
GAD,generalized anxiety disorder,NULL,NULL,4966,Generalized anxiety disorder,28,NULL,21897009,C0270549,36731013,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
GCA,giant cell arteritis,NULL,NULL,554,giant cell arteritis,20,161,414341000,C0039483,2534171012,1,446.5,Giant cell arteritis,,,NULL,NULL,N,,NULL
GCT,germ cell tumor,NULL,NULL,10402,Germ cell tumor,15,NULL,402878003,C0205851,1774963015,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
GER,gastroesophageal reflux,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
GERD,gastroesophageal reflux disease,NULL,NULL,546,gastroesophageal reflux disease,31,140,235595009,C0017168,353135014,1,530.81,Esophageal reflux,K21.9,Gastro-esophageal reflux disease without esophagitis,NULL,NULL,N,,NULL
GIB,Gastrointestinal bleed,NULL,NULL,14942,Gastrointestinal bleed,22,486,74474003,C0017181,1233753013,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
GN,glomerulonephritis,NULL,NULL,558,glomerulonephritis,18,605,36171008,C0017658,60356016,2,583.9,Nephritis and nephropathy; not specified as acute or chronic; with unspecified pathological lesion in kidney,,,NULL,NULL,N,,NULL
GVHD,graft versus host disease,NULL,NULL,5443,Graft versus host disease,25,572,234646005,C0018133,351589011,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
H/A,headache,NULL,NULL,582,headache,8,167,25064002,C0018681,41991015,2,784,Headache,R51,Headache,NULL,NULL,N,,NULL
h/o,history of,NULL,NULL,NULL,NULL,NULL,NULL,392521001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL
H/O Depression,Depressive disorder,Mental Disorder Study,NULL,NULL,Depressive disorder,14,NULL,35489007,NULL,59213018,NULL,NULL,NULL,NULL,NULL,ABRV,NULL,N,depression_abbreviation,NULL
HBP,high blood pressure,NULL,NULL,9612,High blood pressure,19,196,38341003,C0020538,64172013,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
HBsAG,hepatitis B surface antigen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
HCC,hepatocellular carcinoma,NULL,NULL,1741,Hepatocellular carcinoma,24,NULL,109841003,C2239176,342807011,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
HCL,hairy cell leukemia,NULL,NULL,2107,Hairy cell leukemia,19,NULL,118613001,C0023443,2773660010,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
HCM,Hypertrophic cardiomyopathy,NULL,NULL,5370,Hypertrophic cardiomyopathy,27,NULL,233873004,C0007194,350415017,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
Hct,hematocrit,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
HDL,high-density lipoprotein,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
HDV,hepatitis D virus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
HEV,hepatitis E virus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
hgb,hemoglobin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
HH,hiatal hernia,NULL,NULL,620,hiatal hernia,13,185,84089009,C0019284,139432019,1,553.3,Diaphragmatic hernia without mention of obstruction or gangrene,K44.9,Diaphragmatic hernia without obstruction or gangrene,NULL,NULL,N,,NULL
HHT,hereditary hemorrhagic telangiectasia,NULL,NULL,4958,Hereditary hemorrhagic telangiectasia,37,NULL,21877004,C0039445,36697017,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
HHV,human herpes virus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
HIV,human immunodeficiency virus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
HIV -,HIV negative,NULL,NULL,632,HIV negative,12,189,165815009,NULL,257852010,1,,,,,NULL,NULL,N,,NULL
HIV +,HIV positive,NULL,NULL,633,HIV positive,12,190,165816005,NULL,257855012,1,V08,Asymptomatic human immunodeficiency virus [HIV] infection status,Z21,Asymptomatic human immunodeficiency virus [HIV] infection status,NULL,NULL,N,,NULL
HMG,hepatomegaly,NULL,NULL,609,hepatomegaly,12,1060,80515008,C0019209,133597016,2,789.1,Hepatomegaly,R16.0,Hepatomegaly; not elsewhere classified,NULL,NULL,N,,NULL
HNP,herniated disc,NULL,NULL,613,herniated disc,14,182,84857004,NULL,NULL,NULL,722.2,Displacement of intervertebral disc; site unspecified; without myelopathy,,,NULL,NULL,N,,NULL
HOH,hard of hearing,NULL,NULL,2820,Hard of hearing,15,169,15188001,C1384666,477220016,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
HPV,human papilloma virus,NULL,NULL,641,human papilloma virus,21,549,240532009,NULL,NULL,NULL,79.4,Human papillomavirus infection in conditions classified elsewhere and of unspecified site,B97.7,Papillomavirus as the cause of diseases classified elsewhere,NULL,NULL,N,,NULL
HRT,hormone replacement therapy,NULL,NULL,639,hormone replacement therapy,27,548,266717002,C0282402,397164010,1,,,,,NULL,NULL,N,,NULL
HSV,herpes simplex,NULL,NULL,16390,Herpes simplex,14,NULL,88594005,C0019348,146892011,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
HTN,hypertension,NULL,NULL,670,hypertension,12,196,38341003,C0020538,64176011,2,401.9,Unspecified essential hypertension,,,NULL,NULL,N,,NULL
HUS,hemolytic uremic syndrome,NULL,NULL,1902,Hemolytic uremic syndrome,25,NULL,111407006,C0019061,187785015,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
Hx Depression,Depressive disorder,Mental Disorder Study,NULL,NULL,Depressive disorder,14,NULL,35489007,NULL,59213018,NULL,NULL,NULL,NULL,NULL,ABRV,NULL,N,depression_abbreviation,NULL
